what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1353011961342
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1353011961424
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1353011961471
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1353011961519
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1353011961519
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1353011961609
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1353011961683
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1353011961810
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1353011961925
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1353011961979
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1353011962028
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1353011962082
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1353011962109
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1353011962151
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1353011962315
started,bundle,org.eclipse.xtext,2.3.0.v201206120633,"org.eclipse.xtext",1353011962315
started,bundle,org.eclipse.xtext.builder,2.3.0.v201206120633,"org.eclipse.xtext.builder",1353011962396
started,bundle,org.eclipse.xtext.common.types,2.3.0.v201206120633,"org.eclipse.xtext.common.types",1353011962475
started,bundle,org.eclipse.xtext.ui,2.3.0.v201206120633,"org.eclipse.xtext.ui",1353011962475
started,bundle,org.eclipse.xtext.ui.codetemplates,2.3.0.v201206120633,"org.eclipse.xtext.ui.codetemplates",1353011962491
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.3.0.v201206120633,"org.eclipse.xtext.ui.codetemplates.ui",1353011962623
started,bundle,org.eclipse.xtext.ui.shared,2.3.0.v201206120633,"org.eclipse.xtext.ui.shared",1353011962645
started,bundle,csep.ui,0.2.2,"csep.ui",1353011962645
os,sysinfo,,,"macosx",1353011962649
arch,sysinfo,,,"x86_64",1353011962649
ws,sysinfo,,,"cocoa",1353011962649
locale,sysinfo,,,"en_US",1353011962649
processors,sysinfo,,,"2",1353011962649
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353011962649
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1353011962649
java.specification.name,sysinfo,,,"Java Platform API Specification",1353011962649
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353011962649
java.specification.version,sysinfo,,,"1.6",1353011962649
java.vendor,sysinfo,,,"Apple Inc.",1353011962649
java.version,sysinfo,,,"1.6.0_33",1353011962649
java.vm.info,sysinfo,,,"mixed mode",1353011962649
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353011962649
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353011962649
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353011962649
java.vm.specification.version,sysinfo,,,"1.0",1353011962649
java.vm.vendor,sysinfo,,,"Apple Inc.",1353011962649
java.vm.version,sysinfo,,,"20.8-b03-424",1353011962649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353012744254
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353012744259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353012923684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353013030525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353013032863
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353014589259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014589357
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014591764
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353014599919
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1353014602072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014606905
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014607883
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014607904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014611370
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014662596
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014675306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014678405
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353014681098
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014685583
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014685650
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353014700319
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1353014700707
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1353014700797
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1353014700849
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1353014700923
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1353014701133
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1353014701305
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1353014701395
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1353014701407
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1353014701701
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1353014701809
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1353014702365
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1353014702496
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1353014702504
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1353014702648
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353014702808
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1353014703286
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1353014703989
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014744814
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353014791330
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014792180
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1353014792234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014848125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014857706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014858741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1353014863759
